GregorianDate,GregorianDOY,AIFCYear,AIFCMonth,AIFCDay,AIFCLabel,DayOfSol
2027-01-01,1,2027,1,1,,False
2027-01-02,2,2027,1,2,,False
2027-01-03,3,2027,1,3,,False
2027-01-04,4,2027,1,4,,False
2027-01-05,5,2027,1,5,,False
2027-01-06,6,2027,1,6,,False
2027-01-07,7,2027,1,7,,False
2027-01-08,8,2027,1,8,,False
2027-01-09,9,2027,1,9,,False
2027-01-10,10,2027,1,10,,False
2027-01-11,11,2027,1,11,,False
2027-01-12,12,2027,1,12,,False
2027-01-13,13,2027,1,13,,False
2027-01-14,14,2027,1,14,,False
2027-01-15,15,2027,1,15,,False
2027-01-16,16,2027,1,16,,False
2027-01-17,17,2027,1,17,,False
2027-01-18,18,2027,1,18,,False
2027-01-19,19,2027,1,19,,False
2027-01-20,20,2027,1,20,,False
2027-01-21,21,2027,1,21,,False
2027-01-22,22,2027,1,22,,False
2027-01-23,23,2027,1,23,,False
2027-01-24,24,2027,1,24,,False
2027-01-25,25,2027,1,25,,False
2027-01-26,26,2027,1,26,,False
2027-01-27,27,2027,1,27,,False
2027-01-28,28,2027,1,28,,False
2027-01-29,29,2027,2,1,,False
2027-01-30,30,2027,2,2,,False
2027-01-31,31,2027,2,3,,False
2027-02-01,32,2027,2,4,,False
2027-02-02,33,2027,2,5,,False
2027-02-03,34,2027,2,6,,False
2027-02-04,35,2027,2,7,,False
2027-02-05,36,2027,2,8,,False
2027-02-06,37,2027,2,9,,False
2027-02-07,38,2027,2,10,,False
2027-02-08,39,2027,2,11,,False
2027-02-09,40,2027,2,12,,False
2027-02-10,41,2027,2,13,,False
2027-02-11,42,2027,2,14,,False
2027-02-12,43,2027,2,15,,False
2027-02-13,44,2027,2,16,,False
2027-02-14,45,2027,2,17,,False
2027-02-15,46,2027,2,18,,False
2027-02-16,47,2027,2,19,,False
2027-02-17,48,2027,2,20,,False
2027-02-18,49,2027,2,21,,False
2027-02-19,50,2027,2,22,,False
2027-02-20,51,2027,2,23,,False
2027-02-21,52,2027,2,24,,False
2027-02-22,53,2027,2,25,,False
2027-02-23,54,2027,2,26,,False
2027-02-24,55,2027,2,27,,False
2027-02-25,56,2027,2,28,,False
2027-02-26,57,2027,3,1,,False
2027-02-27,58,2027,3,2,,False
2027-02-28,59,2027,3,3,,False
2027-03-01,60,2027,3,4,,False
2027-03-02,61,2027,3,5,,False
2027-03-03,62,2027,3,6,,False
2027-03-04,63,2027,3,7,,False
2027-03-05,64,2027,3,8,,False
2027-03-06,65,2027,3,9,,False
2027-03-07,66,2027,3,10,,False
2027-03-08,67,2027,3,11,,False
2027-03-09,68,2027,3,12,,False
2027-03-10,69,2027,3,13,,False
2027-03-11,70,2027,3,14,,False
2027-03-12,71,2027,3,15,,False
2027-03-13,72,2027,3,16,,False
2027-03-14,73,2027,3,17,,False
2027-03-15,74,2027,3,18,,False
2027-03-16,75,2027,3,19,,False
2027-03-17,76,2027,3,20,,False
2027-03-18,77,2027,3,21,,False
2027-03-19,78,2027,3,22,,False
2027-03-20,79,2027,3,23,,False
2027-03-21,80,2027,3,24,,False
2027-03-22,81,2027,3,25,,False
2027-03-23,82,2027,3,26,,False
2027-03-24,83,2027,3,27,,False
2027-03-25,84,2027,3,28,,False
2027-03-26,85,2027,4,1,,False
2027-03-27,86,2027,4,2,,False
2027-03-28,87,2027,4,3,,False
2027-03-29,88,2027,4,4,,False
2027-03-30,89,2027,4,5,,False
2027-03-31,90,2027,4,6,,False
2027-04-01,91,2027,4,7,,False
2027-04-02,92,2027,4,8,,False
2027-04-03,93,2027,4,9,,False
2027-04-04,94,2027,4,10,,False
2027-04-05,95,2027,4,11,,False
2027-04-06,96,2027,4,12,,False
2027-04-07,97,2027,4,13,,False
2027-04-08,98,2027,4,14,,False
2027-04-09,99,2027,4,15,,False
2027-04-10,100,2027,4,16,,False
2027-04-11,101,2027,4,17,,False
