AIFCYear,AIFCMonth,AIFCDay,GregorianDate,GregorianDOY
2029,1,1,2029-01-01,1
2029,1,2,2029-01-02,2
2029,1,3,2029-01-03,3
2029,1,4,2029-01-04,4
2029,1,5,2029-01-05,5
2029,1,6,2029-01-06,6
2029,1,7,2029-01-07,7
2029,1,8,2029-01-08,8
2029,1,9,2029-01-09,9
2029,1,10,2029-01-10,10
2029,1,11,2029-01-11,11
2029,1,12,2029-01-12,12
2029,1,13,2029-01-13,13
2029,1,14,2029-01-14,14
2029,1,15,2029-01-15,15
2029,1,16,2029-01-16,16
2029,1,17,2029-01-17,17
2029,1,18,2029-01-18,18
2029,1,19,2029-01-19,19
2029,1,20,2029-01-20,20
2029,1,21,2029-01-21,21
2029,1,22,2029-01-22,22
2029,1,23,2029-01-23,23
2029,1,24,2029-01-24,24
2029,1,25,2029-01-25,25
2029,1,26,2029-01-26,26
2029,1,27,2029-01-27,27
2029,1,28,2029-01-28,28
2029,2,1,2029-01-29,29
2029,2,2,2029-01-30,30
2029,2,3,2029-01-31,31
2029,2,4,2029-02-01,32
2029,2,5,2029-02-02,33
2029,2,6,2029-02-03,34
2029,2,7,2029-02-04,35
2029,2,8,2029-02-05,36
2029,2,9,2029-02-06,37
2029,2,10,2029-02-07,38
2029,2,11,2029-02-08,39
2029,2,12,2029-02-09,40
2029,2,13,2029-02-10,41
2029,2,14,2029-02-11,42
2029,2,15,2029-02-12,43
2029,2,16,2029-02-13,44
2029,2,17,2029-02-14,45
2029,2,18,2029-02-15,46
2029,2,19,2029-02-16,47
2029,2,20,2029-02-17,48
2029,2,21,2029-02-18,49
2029,2,22,2029-02-19,50
2029,2,23,2029-02-20,51
2029,2,24,2029-02-21,52
2029,2,25,2029-02-22,53
2029,2,26,2029-02-23,54
2029,2,27,2029-02-24,55
2029,2,28,2029-02-25,56
2029,3,1,2029-02-26,57
2029,3,2,2029-02-27,58
2029,3,3,2029-02-28,59
2029,3,4,2029-03-01,60
2029,3,5,2029-03-02,61
2029,3,6,2029-03-03,62
2029,3,7,2029-03-04,63
2029,3,8,2029-03-05,64
2029,3,9,2029-03-06,65
2029,3,10,2029-03-07,66
2029,3,11,2029-03-08,67
2029,3,12,2029-03-09,68
2029,3,13,2029-03-10,69
2029,3,14,2029-03-11,70
2029,3,15,2029-03-12,71
2029,3,16,2029-03-13,72
2029,3,17,2029-03-14,73
2029,3,18,2029-03-15,74
2029,3,19,2029-03-16,75
2029,3,20,2029-03-17,76
2029,3,21,2029-03-18,77
2029,3,22,2029-03-19,78
2029,3,23,2029-03-20,79
2029,3,24,2029-03-21,80
2029,3,25,2029-03-22,81
2029,3,26,2029-03-23,82
2029,3,27,2029-03-24,83
2029,3,28,2029-03-25,84
2029,4,1,2029-03-26,85
2029,4,2,2029-03-27,86
2029,4,3,2029-03-28,87
2029,4,4,2029-03-29,88
2029,4,5,2029-03-30,89
2029,4,6,2029-03-31,90
2029,4,7,2029-04-01,91
2029,4,8,2029-04-02,92
2029,4,9,2029-04-03,93
2029,4,10,2029-04-04,94
2029,4,11,2029-04-05,95
2029,4,12,2029-04-06,96
2029,4,13,2029-04-07,97
2029,4,14,2029-04-08,98
2029,4,15,2029-04-09,99
2029,4,16,2029-04-10,100
2029,4,17,2029-04-11,101
2029,4,18,2029-04-12,102
2029,4,19,2029-04-13,103
2029,4,20,2029-04-14,104
2029,4,21,2029-04-15,105
2029,4,22,2029-04-16,106
2029,4,23,2029-04-17,107
2029,4,24,2029-04-18,108
2029,4,25,2029-04-19,109
2029,4,26,2029-04-20,110
2029,4,27,2029-04-21,111
2029,4,28,2029-04-22,112
2029,5,1,2029-04-23,113
2029,5,2,2029-04-24,114
2029,5,3,2029-04-25,115
2029,5,4,2029-04-26,116
2029,5,5,2029-04-27,117
2029,5,6,2029-04-28,118
2029,5,7,2029-04-29,119
2029,5,8,2029-04-30,120
2029,5,9,2029-05-01,121
2029,5,10,2029-05-02,122
2029,5,11,2029-05-03,123
2029,5,12,2029-05-04,124
2029,5,13,2029-05-05,125
2029,5,14,2029-05-06,126
2029,5,15,2029-05-07,127
2029,5,16,2029-05-08,128
2029,5,17,2029-05-09,129
2029,5,18,2029-05-10,130
2029,5,19,2029-05-11,131
2029,5,20,2029-05-12,132
2029,5,21,2029-05-13,133
2029,5,22,2029-05-14,134
2029,5,23,2029-05-15,135
2029,5,24,2029-05-16,136
2029,5,25,2029-05-17,137
2029,5,26,2029-05-18,138
2029,5,27,2029-05-19,139
2029,5,28,2029-05-20,140
2029,6,1,2029-05-21,141
2029,6,2,2029-05-22,142
2029,6,3,2029-05-23,143
2029,6,4,2029-05-24,144
2029,6,5,2029-05-25,145
2029,6,6,2029-05-26,146
2029,6,7,2029-05-27,147
2029,6,8,2029-05-28,148
2029,6,9,2029-05-29,149
2029,6,10,2029-05-30,150
2029,6,11,2029-05-31,151
2029,6,12,2029-06-01,152
2029,6,13,2029-06-02,153
2029,6,14,2029-06-03,154
2029,6,15,2029-06-04,155
2029,6,16,2029-06-05,156
2029,6,17,2029-06-06,157
2029,6,18,2029-06-07,158
2029,6,19,2029-06-08,159
2029,6,20,2029-06-09,160
2029,6,21,2029-06-10,161
2029,6,22,2029-06-11,162
2029,6,23,2029-06-12,163
2029,6,24,2029-06-13,164
2029,6,25,2029-06-14,165
2029,6,26,2029-06-15,166
2029,6,27,2029-06-16,167
2029,6,28,2029-06-17,168
2029,7,1,2029-06-18,169
2029,7,2,2029-06-19,170
2029,7,3,2029-06-20,171
2029,7,4,2029-06-21,172
2029,7,5,2029-06-22,173
2029,7,6,2029-06-23,174
2029,7,7,2029-06-24,175
2029,7,8,2029-06-25,176
2029,7,9,2029-06-26,177
2029,7,10,2029-06-27,178
2029,7,11,2029-06-28,179
2029,7,12,2029-06-29,180
2029,7,13,2029-06-30,181
2029,7,14,2029-07-01,182
2029,7,15,2029-07-02,183
2029,7,16,2029-07-03,184
2029,7,17,2029-07-04,185
2029,7,18,2029-07-05,186
2029,7,19,2029-07-06,187
2029,7,20,2029-07-07,188
2029,7,21,2029-07-08,189
2029,7,22,2029-07-09,190
2029,7,23,2029-07-10,191
2029,7,24,2029-07-11,192
2029,7,25,2029-07-12,193
2029,7,26,2029-07-13,194
2029,7,27,2029-07-14,195
2029,7,28,2029-07-15,196
2029,7,29,2029-07-16,197
2029,8,1,2029-07-17,198
2029,8,2,2029-07-18,199
2029,8,3,2029-07-19,200
2029,8,4,2029-07-20,201
2029,8,5,2029-07-21,202
2029,8,6,2029-07-22,203
2029,8,7,2029-07-23,204
2029,8,8,2029-07-24,205
2029,8,9,2029-07-25,206
2029,8,10,2029-07-26,207
2029,8,11,2029-07-27,208
2029,8,12,2029-07-28,209
2029,8,13,2029-07-29,210
2029,8,14,2029-07-30,211
2029,8,15,2029-07-31,212
2029,8,16,2029-08-01,213
2029,8,17,2029-08-02,214
2029,8,18,2029-08-03,215
2029,8,19,2029-08-04,216
2029,8,20,2029-08-05,217
2029,8,21,2029-08-06,218
2029,8,22,2029-08-07,219
2029,8,23,2029-08-08,220
2029,8,24,2029-08-09,221
2029,8,25,2029-08-10,222
2029,8,26,2029-08-11,223
2029,8,27,2029-08-12,224
2029,8,28,2029-08-13,225
2029,9,1,2029-08-14,226
2029,9,2,2029-08-15,227
2029,9,3,2029-08-16,228
2029,9,4,2029-08-17,229
2029,9,5,2029-08-18,230
2029,9,6,2029-08-19,231
2029,9,7,2029-08-20,232
2029,9,8,2029-08-21,233
2029,9,9,2029-08-22,234
2029,9,10,2029-08-23,235
2029,9,11,2029-08-24,236
2029,9,12,2029-08-25,237
2029,9,13,2029-08-26,238
2029,9,14,2029-08-27,239
2029,9,15,2029-08-28,240
2029,9,16,2029-08-29,241
2029,9,17,2029-08-30,242
2029,9,18,2029-08-31,243
2029,9,19,2029-09-01,244
2029,9,20,2029-09-02,245
2029,9,21,2029-09-03,246
2029,9,22,2029-09-04,247
2029,9,23,2029-09-05,248
2029,9,24,2029-09-06,249
2029,9,25,2029-09-07,250
2029,9,26,2029-09-08,251
2029,9,27,2029-09-09,252
2029,9,28,2029-09-10,253
2029,10,1,2029-09-11,254
2029,10,2,2029-09-12,255
2029,10,3,2029-09-13,256
2029,10,4,2029-09-14,257
2029,10,5,2029-09-15,258
2029,10,6,2029-09-16,259
2029,10,7,2029-09-17,260
2029,10,8,2029-09-18,261
2029,10,9,2029-09-19,262
2029,10,10,2029-09-20,263
2029,10,11,2029-09-21,264
2029,10,12,2029-09-22,265
2029,10,13,2029-09-23,266
2029,10,14,2029-09-24,267
2029,10,15,2029-09-25,268
2029,10,16,2029-09-26,269
2029,10,17,2029-09-27,270
2029,10,18,2029-09-28,271
2029,10,19,2029-09-29,272
2029,10,20,2029-09-30,273
2029,10,21,2029-10-01,274
2029,10,22,2029-10-02,275
2029,10,23,2029-10-03,276
2029,10,24,2029-10-04,277
2029,10,25,2029-10-05,278
2029,10,26,2029-10-06,279
2029,10,27,2029-10-07,280
2029,10,28,2029-10-08,281
2029,11,1,2029-10-09,282
2029,11,2,2029-10-10,283
2029,11,3,2029-10-11,284
2029,11,4,2029-10-12,285
2029,11,5,2029-10-13,286
2029,11,6,2029-10-14,287
2029,11,7,2029-10-15,288
2029,11,8,2029-10-16,289
2029,11,9,2029-10-17,290
2029,11,10,2029-10-18,291
2029,11,11,2029-10-19,292
2029,11,12,2029-10-20,293
2029,11,13,2029-10-21,294
2029,11,14,2029-10-22,295
2029,11,15,2029-10-23,296
2029,11,16,2029-10-24,297
2029,11,17,2029-10-25,298
2029,11,18,2029-10-26,299
2029,11,19,2029-10-27,300
2029,11,20,2029-10-28,301
2029,11,21,2029-10-29,302
2029,11,22,2029-10-30,303
2029,11,23,2029-10-31,304
2029,11,24,2029-11-01,305
2029,11,25,2029-11-02,306
2029,11,26,2029-11-03,307
2029,11,27,2029-11-04,308
2029,11,28,2029-11-05,309
2029,12,1,2029-11-06,310
2029,12,2,2029-11-07,311
2029,12,3,2029-11-08,312
2029,12,4,2029-11-09,313
2029,12,5,2029-11-10,314
2029,12,6,2029-11-11,315
2029,12,7,2029-11-12,316
2029,12,8,2029-11-13,317
2029,12,9,2029-11-14,318
2029,12,10,2029-11-15,319
2029,12,11,2029-11-16,320
2029,12,12,2029-11-17,321
2029,12,13,2029-11-18,322
2029,12,14,2029-11-19,323
2029,12,15,2029-11-20,324
2029,12,16,2029-11-21,325
2029,12,17,2029-11-22,326
2029,12,18,2029-11-23,327
2029,12,19,2029-11-24,328
2029,12,20,2029-11-25,329
2029,12,21,2029-11-26,330
2029,12,22,2029-11-27,331
2029,12,23,2029-11-28,332
2029,12,24,2029-11-29,333
2029,12,25,2029-11-30,334
2029,12,26,2029-12-01,335
2029,12,27,2029-12-02,336
2029,12,28,2029-12-03,337
2029,13,1,2029-12-04,338
2029,13,2,2029-12-05,339
2029,13,3,2029-12-06,340
2029,13,4,2029-12-07,341
2029,13,5,2029-12-08,342
2029,13,6,2029-12-09,343
2029,13,7,2029-12-10,344
2029,13,8,2029-12-11,345
2029,13,9,2029-12-12,346
2029,13,10,2029-12-13,347
2029,13,11,2029-12-14,348
2029,13,12,2029-12-15,349
2029,13,13,2029-12-16,350
2029,13,14,2029-12-17,351
2029,13,15,2029-12-18,352
2029,13,16,2029-12-19,353
2029,13,17,2029-12-20,354
2029,13,18,2029-12-21,355
2029,13,19,2029-12-22,356
2029,13,20,2029-12-23,357
2029,13,21,2029-12-24,358
2029,13,22,2029-12-25,359
2029,13,23,2029-12-26,360
2029,13,24,2029-12-27,361
2029,13,25,2029-12-28,362
2029,13,26,2029-12-29,363
2029,13,27,2029-12-30,364
2029,13,28,2029-12-31,365
