AIFCYear,AIFCMonth,AIFCDay,GregorianDate,GregorianDOY
2028,7,3,2028-06-19,171
2028,7,4,2028-06-20,172
2028,7,5,2028-06-21,173
2028,7,6,2028-06-22,174
2028,7,7,2028-06-23,175
2028,7,8,2028-06-24,176
2028,7,9,2028-06-25,177
2028,7,10,2028-06-26,178
2028,7,11,2028-06-27,179
2028,7,12,2028-06-28,180
2028,7,13,2028-06-29,181
2028,7,14,2028-06-30,182
2028,7,15,2028-07-01,183
2028,7,16,2028-07-02,184
2028,7,17,2028-07-03,185
2028,7,18,2028-07-04,186
2028,7,19,2028-07-05,187
2028,7,20,2028-07-06,188
2028,7,21,2028-07-07,189
2028,7,22,2028-07-08,190
2028,7,23,2028-07-09,191
2028,7,24,2028-07-10,192
2028,7,25,2028-07-11,193
2028,7,26,2028-07-12,194
2028,7,27,2028-07-13,195
2028,7,28,2028-07-14,196
2028,7,29,2028-07-15,197
2028,8,1,2028-07-16,198
2028,8,2,2028-07-17,199
2028,8,3,2028-07-18,200
2028,8,4,2028-07-19,201
2028,8,5,2028-07-20,202
2028,8,6,2028-07-21,203
2028,8,7,2028-07-22,204
2028,8,8,2028-07-23,205
2028,8,9,2028-07-24,206
2028,8,10,2028-07-25,207
2028,8,11,2028-07-26,208
2028,8,12,2028-07-27,209
2028,8,13,2028-07-28,210
2028,8,14,2028-07-29,211
2028,8,15,2028-07-30,212
2028,8,16,2028-07-31,213
2028,8,17,2028-08-01,214
2028,8,18,2028-08-02,215
2028,8,19,2028-08-03,216
2028,8,20,2028-08-04,217
2028,8,21,2028-08-05,218
2028,8,22,2028-08-06,219
2028,8,23,2028-08-07,220
2028,8,24,2028-08-08,221
2028,8,25,2028-08-09,222
2028,8,26,2028-08-10,223
2028,8,27,2028-08-11,224
2028,8,28,2028-08-12,225
2028,9,1,2028-08-13,226
2028,9,2,2028-08-14,227
2028,9,3,2028-08-15,228
2028,9,4,2028-08-16,229
2028,9,5,2028-08-17,230
2028,9,6,2028-08-18,231
2028,9,7,2028-08-19,232
2028,9,8,2028-08-20,233
2028,9,9,2028-08-21,234
2028,9,10,2028-08-22,235
2028,9,11,2028-08-23,236
2028,9,12,2028-08-24,237
2028,9,13,2028-08-25,238
2028,9,14,2028-08-26,239
2028,9,15,2028-08-27,240
2028,9,16,2028-08-28,241
2028,9,17,2028-08-29,242
2028,9,18,2028-08-30,243
2028,9,19,2028-08-31,244
2028,9,20,2028-09-01,245
2028,9,21,2028-09-02,246
2028,9,22,2028-09-03,247
2028,9,23,2028-09-04,248
2028,9,24,2028-09-05,249
2028,9,25,2028-09-06,250
2028,9,26,2028-09-07,251
2028,9,27,2028-09-08,252
2028,9,28,2028-09-09,253
2028,10,1,2028-09-10,254
2028,10,2,2028-09-11,255
2028,10,3,2028-09-12,256
2028,10,4,2028-09-13,257
2028,10,5,2028-09-14,258
2028,10,6,2028-09-15,259
2028,10,7,2028-09-16,260
2028,10,8,2028-09-17,261
2028,10,9,2028-09-18,262
2028,10,10,2028-09-19,263
2028,10,11,2028-09-20,264
2028,10,12,2028-09-21,265
2028,10,13,2028-09-22,266
2028,10,14,2028-09-23,267
2028,10,15,2028-09-24,268
2028,10,16,2028-09-25,269
2028,10,17,2028-09-26,270
2028,10,18,2028-09-27,271
2028,10,19,2028-09-28,272
2028,10,20,2028-09-29,273
2028,10,21,2028-09-30,274
2028,10,22,2028-10-01,275
2028,10,23,2028-10-02,276
2028,10,24,2028-10-03,277
2028,10,25,2028-10-04,278
2028,10,26,2028-10-05,279
2028,10,27,2028-10-06,280
2028,10,28,2028-10-07,281
2028,11,1,2028-10-08,282
2028,11,2,2028-10-09,283
2028,11,3,2028-10-10,284
2028,11,4,2028-10-11,285
2028,11,5,2028-10-12,286
2028,11,6,2028-10-13,287
2028,11,7,2028-10-14,288
2028,11,8,2028-10-15,289
2028,11,9,2028-10-16,290
2028,11,10,2028-10-17,291
2028,11,11,2028-10-18,292
2028,11,12,2028-10-19,293
2028,11,13,2028-10-20,294
2028,11,14,2028-10-21,295
2028,11,15,2028-10-22,296
2028,11,16,2028-10-23,297
2028,11,17,2028-10-24,298
2028,11,18,2028-10-25,299
2028,11,19,2028-10-26,300
2028,11,20,2028-10-27,301
2028,11,21,2028-10-28,302
2028,11,22,2028-10-29,303
2028,11,23,2028-10-30,304
2028,11,24,2028-10-31,305
2028,11,25,2028-11-01,306
2028,11,26,2028-11-02,307
2028,11,27,2028-11-03,308
2028,11,28,2028-11-04,309
2028,12,1,2028-11-05,310
2028,12,2,2028-11-06,311
2028,12,3,2028-11-07,312
2028,12,4,2028-11-08,313
2028,12,5,2028-11-09,314
2028,12,6,2028-11-10,315
2028,12,7,2028-11-11,316
2028,12,8,2028-11-12,317
2028,12,9,2028-11-13,318
2028,12,10,2028-11-14,319
2028,12,11,2028-11-15,320
2028,12,12,2028-11-16,321
2028,12,13,2028-11-17,322
2028,12,14,2028-11-18,323
2028,12,15,2028-11-19,324
2028,12,16,2028-11-20,325
2028,12,17,2028-11-21,326
2028,12,18,2028-11-22,327
2028,12,19,2028-11-23,328
2028,12,20,2028-11-24,329
2028,12,21,2028-11-25,330
2028,12,22,2028-11-26,331
2028,12,23,2028-11-27,332
2028,12,24,2028-11-28,333
2028,12,25,2028-11-29,334
2028,12,26,2028-11-30,335
2028,12,27,2028-12-01,336
2028,12,28,2028-12-02,337
2028,13,1,2028-12-03,338
2028,13,2,2028-12-04,339
2028,13,3,2028-12-05,340
2028,13,4,2028-12-06,341
2028,13,5,2028-12-07,342
2028,13,6,2028-12-08,343
2028,13,7,2028-12-09,344
2028,13,8,2028-12-10,345
2028,13,9,2028-12-11,346
2028,13,10,2028-12-12,347
2028,13,11,2028-12-13,348
2028,13,12,2028-12-14,349
2028,13,13,2028-12-15,350
2028,13,14,2028-12-16,351
2028,13,15,2028-12-17,352
2028,13,16,2028-12-18,353
2028,13,17,2028-12-19,354
2028,13,18,2028-12-20,355
2028,13,19,2028-12-21,356
2028,13,20,2028-12-22,357
2028,13,21,2028-12-23,358
2028,13,22,2028-12-24,359
2028,13,23,2028-12-25,360
2028,13,24,2028-12-26,361
2028,13,25,2028-12-27,362
2028,13,26,2028-12-28,363
2028,13,27,2028-12-29,364
2028,13,28,2028-12-30,365
2028,13,29,2028-12-31,366
