AIFCYear,AIFCMonth,AIFCDay,GregorianDate,GregorianDOY
2028,1,1,2028-01-01,1
2028,1,2,2028-01-02,2
2028,1,3,2028-01-03,3
2028,1,4,2028-01-04,4
2028,1,5,2028-01-05,5
2028,1,6,2028-01-06,6
2028,1,7,2028-01-07,7
2028,1,8,2028-01-08,8
2028,1,9,2028-01-09,9
2028,1,10,2028-01-10,10
2028,1,11,2028-01-11,11
2028,1,12,2028-01-12,12
2028,1,13,2028-01-13,13
2028,1,14,2028-01-14,14
2028,1,15,2028-01-15,15
2028,1,16,2028-01-16,16
2028,1,17,2028-01-17,17
2028,1,18,2028-01-18,18
2028,1,19,2028-01-19,19
2028,1,20,2028-01-20,20
2028,1,21,2028-01-21,21
2028,1,22,2028-01-22,22
2028,1,23,2028-01-23,23
2028,1,24,2028-01-24,24
2028,1,25,2028-01-25,25
2028,1,26,2028-01-26,26
2028,1,27,2028-01-27,27
2028,1,28,2028-01-28,28
2028,2,1,2028-01-29,29
2028,2,2,2028-01-30,30
2028,2,3,2028-01-31,31
2028,2,4,2028-02-01,32
2028,2,5,2028-02-02,33
2028,2,6,2028-02-03,34
2028,2,7,2028-02-04,35
2028,2,8,2028-02-05,36
2028,2,9,2028-02-06,37
2028,2,10,2028-02-07,38
2028,2,11,2028-02-08,39
2028,2,12,2028-02-09,40
2028,2,13,2028-02-10,41
2028,2,14,2028-02-11,42
2028,2,15,2028-02-12,43
2028,2,16,2028-02-13,44
2028,2,17,2028-02-14,45
2028,2,18,2028-02-15,46
2028,2,19,2028-02-16,47
2028,2,20,2028-02-17,48
2028,2,21,2028-02-18,49
2028,2,22,2028-02-19,50
2028,2,23,2028-02-20,51
2028,2,24,2028-02-21,52
2028,2,25,2028-02-22,53
2028,2,26,2028-02-23,54
2028,2,27,2028-02-24,55
2028,2,28,2028-02-25,56
2028,3,1,2028-02-26,57
2028,3,2,2028-02-27,58
2028,3,3,2028-02-28,59
2028,3,4,2028-02-29,60
2028,3,5,2028-03-01,61
2028,3,6,2028-03-02,62
2028,3,7,2028-03-03,63
2028,3,8,2028-03-04,64
2028,3,9,2028-03-05,65
2028,3,10,2028-03-06,66
2028,3,11,2028-03-07,67
2028,3,12,2028-03-08,68
2028,3,13,2028-03-09,69
2028,3,14,2028-03-10,70
2028,3,15,2028-03-11,71
2028,3,16,2028-03-12,72
2028,3,17,2028-03-13,73
2028,3,18,2028-03-14,74
2028,3,19,2028-03-15,75
2028,3,20,2028-03-16,76
2028,3,21,2028-03-17,77
2028,3,22,2028-03-18,78
2028,3,23,2028-03-19,79
2028,3,24,2028-03-20,80
2028,3,25,2028-03-21,81
2028,3,26,2028-03-22,82
2028,3,27,2028-03-23,83
2028,3,28,2028-03-24,84
2028,4,1,2028-03-25,85
2028,4,2,2028-03-26,86
2028,4,3,2028-03-27,87
2028,4,4,2028-03-28,88
2028,4,5,2028-03-29,89
2028,4,6,2028-03-30,90
2028,4,7,2028-03-31,91
2028,4,8,2028-04-01,92
2028,4,9,2028-04-02,93
2028,4,10,2028-04-03,94
2028,4,11,2028-04-04,95
2028,4,12,2028-04-05,96
2028,4,13,2028-04-06,97
2028,4,14,2028-04-07,98
2028,4,15,2028-04-08,99
2028,4,16,2028-04-09,100
2028,4,17,2028-04-10,101
2028,4,18,2028-04-11,102
2028,4,19,2028-04-12,103
2028,4,20,2028-04-13,104
2028,4,21,2028-04-14,105
2028,4,22,2028-04-15,106
2028,4,23,2028-04-16,107
2028,4,24,2028-04-17,108
2028,4,25,2028-04-18,109
2028,4,26,2028-04-19,110
2028,4,27,2028-04-20,111
2028,4,28,2028-04-21,112
2028,5,1,2028-04-22,113
2028,5,2,2028-04-23,114
2028,5,3,2028-04-24,115
2028,5,4,2028-04-25,116
2028,5,5,2028-04-26,117
2028,5,6,2028-04-27,118
2028,5,7,2028-04-28,119
2028,5,8,2028-04-29,120
2028,5,9,2028-04-30,121
2028,5,10,2028-05-01,122
2028,5,11,2028-05-02,123
2028,5,12,2028-05-03,124
2028,5,13,2028-05-04,125
2028,5,14,2028-05-05,126
2028,5,15,2028-05-06,127
2028,5,16,2028-05-07,128
2028,5,17,2028-05-08,129
2028,5,18,2028-05-09,130
2028,5,19,2028-05-10,131
2028,5,20,2028-05-11,132
2028,5,21,2028-05-12,133
2028,5,22,2028-05-13,134
2028,5,23,2028-05-14,135
2028,5,24,2028-05-15,136
2028,5,25,2028-05-16,137
2028,5,26,2028-05-17,138
2028,5,27,2028-05-18,139
2028,5,28,2028-05-19,140
2028,6,1,2028-05-20,141
2028,6,2,2028-05-21,142
2028,6,3,2028-05-22,143
2028,6,4,2028-05-23,144
2028,6,5,2028-05-24,145
2028,6,6,2028-05-25,146
2028,6,7,2028-05-26,147
2028,6,8,2028-05-27,148
2028,6,9,2028-05-28,149
2028,6,10,2028-05-29,150
2028,6,11,2028-05-30,151
2028,6,12,2028-05-31,152
2028,6,13,2028-06-01,153
2028,6,14,2028-06-02,154
2028,6,15,2028-06-03,155
2028,6,16,2028-06-04,156
2028,6,17,2028-06-05,157
2028,6,18,2028-06-06,158
2028,6,19,2028-06-07,159
2028,6,20,2028-06-08,160
2028,6,21,2028-06-09,161
2028,6,22,2028-06-10,162
2028,6,23,2028-06-11,163
2028,6,24,2028-06-12,164
2028,6,25,2028-06-13,165
2028,6,26,2028-06-14,166
2028,6,27,2028-06-15,167
2028,6,28,2028-06-16,168
2028,7,1,2028-06-17,169
2028,7,2,2028-06-18,170
